,x,y,2G,3G,4G,latitude,longitude
7135,600674.0,6164915.0,1,0,0,42.5771,1.7917
10971,653515.0,6164521.0,0,1,0,42.5789,2.4345
24485,1203043.0,6184317.0,1,0,0,42.5829,9.1258
24392,1170139.0,6181869.0,1,1,0,42.5831,8.7244
24486,1203090.0,6184342.0,0,1,0,42.5831,9.1264
13203,687511.0,6165011.0,1,1,1,42.5847,2.8481
24423,1178339.0,6182845.0,1,1,1,42.5865,8.8248
13465,693592.0,6165432.0,1,1,0,42.5886,2.922
24474,1195964.0,6184672.0,1,1,0,42.591,9.0403
7163,601781.0,6166536.0,0,1,0,42.5919,1.8049
24584,1228890.0,6187580.0,1,1,1,42.5936,9.4424
24447,1185796.0,6184714.0,1,1,1,42.5983,8.9169
9457,647571.0,6166828.0,1,1,0,42.5993,2.362
13608,697606.0,6167087.0,1,1,1,42.6035,2.9709
13313,690357.0,6167146.0,1,1,0,42.604,2.8826
11578,657318.0,6167332.0,0,1,0,42.6044,2.4806
13843,702770.0,6167453.0,1,1,1,42.6068,3.0337
24441,1182331.0,6185510.0,1,1,1,42.6077,8.8756
7934,625649.0,6168444.0,1,1,1,42.6119,2.095
7190,602474.0,6168838.0,1,0,0,42.6126,1.8129
9384,647221.0,6168443.0,0,1,0,42.6137,2.3576
13710,699955.0,6168397.0,1,1,1,42.6153,2.9995
10581,652061.0,6168603.0,1,1,1,42.6155,2.4165
24453,1188649.0,6186953.0,1,1,1,42.6164,8.9536
13073,684423.0,6168566.0,1,1,0,42.6166,2.8104
12419,668321.0,6168659.0,0,1,0,42.6169,2.6144
13869,703233.0,6168717.0,0,1,0,42.6181,3.0394
24574,1228166.0,6190563.0,1,1,0,42.6209,9.4366
13793,701878.0,6169053.0,0,1,1,42.6212,3.0229
8716,641983.0,6169337.0,0,1,0,42.6214,2.2937
11141,654312.0,6169349.0,1,1,0,42.6224,2.4438
13810,702090.0,6169401.0,1,0,0,42.6243,3.0254
24532,1220958.0,6190511.0,1,1,1,42.6257,9.3491
13586,696972.0,6170059.0,1,1,0,42.6302,2.9631
24448,1186069.0,6188496.0,1,1,1,42.632,8.9237
24449,1186069.0,6188496.0,1,0,0,42.632,8.9237
13846,702822.0,6170269.0,1,1,1,42.6321,3.0344
13667,698954.0,6170450.0,0,1,1,42.6337,2.9873
13444,693011.0,6170606.0,1,1,1,42.6351,2.9149
13779,701661.0,6170638.0,1,1,1,42.6354,3.0202
24571,1228072.0,6192281.0,1,1,1,42.6364,9.4372
8779,642766.0,6171245.0,0,1,0,42.6386,2.3031
13226,688259.0,6171117.0,1,1,1,42.6396,2.857
13091,684774.0,6171555.0,1,1,1,42.6435,2.8146
9850,649290.0,6171747.0,1,0,0,42.6436,2.3825
12860,679020.0,6171608.0,1,1,1,42.6438,2.7445
24573,1228153.0,6193211.0,1,1,1,42.6446,9.4391
11941,661491.0,6172207.0,1,1,1,42.6485,2.531
24470,1194550.0,6191011.0,1,1,1,42.6488,9.029
12135,664269.0,6172401.0,1,1,0,42.6504,2.5648
7263,604799.0,6173347.0,1,1,0,42.6535,1.8404
13581,696925.0,6172796.0,1,1,1,42.6548,2.9625
24564,1227347.0,6195008.0,1,1,1,42.6613,9.4311
24499,1209415.0,6193602.0,1,1,0,42.6616,9.2119
7138,600790.0,6174521.0,1,1,1,42.6635,1.7914
12478,669165.0,6173920.0,1,1,0,42.6643,2.6244
13356,691061.0,6173884.0,1,1,1,42.6645,2.8911
24572,1228076.0,6195788.0,1,1,1,42.6678,9.4407
13641,698308.0,6174336.0,1,1,0,42.6687,2.9794
13133,685903.0,6174657.0,1,1,1,42.6714,2.8282
9251,646447.0,6174890.0,0,1,0,42.6717,2.3475
13310,690312.0,6174707.0,1,1,1,42.6719,2.882
13402,691805.0,6175014.0,0,1,1,42.6747,2.9001
24570,1228007.0,6196775.0,0,1,1,42.6767,9.4408
24559,1226820.0,6196759.0,1,1,1,42.6774,9.4264
24566,1227565.0,6196842.0,1,1,1,42.6776,9.4355
13491,694370.0,6175413.0,1,1,1,42.6783,2.9314
24519,1216554.0,6196169.0,1,1,1,42.6796,9.3011
24538,1223754.0,6196816.0,1,1,1,42.6802,9.3892
12961,681946.0,6175706.0,1,1,0,42.6808,2.78
24576,1228252.0,6197288.0,1,1,1,42.6811,9.4443
7193,602506.0,6176467.0,1,1,0,42.6812,1.8119
24520,1216965.0,6196516.0,1,1,1,42.6824,9.3065
12688,674786.0,6175978.0,0,1,0,42.683,2.6927
13205,687529.0,6176013.0,1,1,1,42.6836,2.848
13274,689446.0,6176038.0,0,1,1,42.6839,2.8714
13409,691989.0,6176124.0,1,1,1,42.6847,2.9024
13826,702517.0,6176125.0,1,1,1,42.6847,3.0307
12886,679664.0,6176287.0,1,1,0,42.6859,2.7522
13329,690671.0,6176333.0,1,1,1,42.6866,2.8863
13085,684669.0,6176425.0,1,1,1,42.6873,2.8132
13463,693535.0,6176460.0,1,1,1,42.6877,2.9212
13501,694685.0,6176680.0,1,1,1,42.6897,2.9352
13262,689177.0,6176767.0,1,1,1,42.6904,2.8681
24579,1228428.0,6198350.0,1,1,1,42.6905,9.4475
13394,691726.0,6176915.0,1,1,1,42.6918,2.8992
13224,688196.0,6177000.0,1,1,1,42.6925,2.8561
13361,691150.0,6177020.0,0,1,1,42.6927,2.8921
13299,690020.0,6177159.0,1,1,1,42.694,2.8784
13422,692437.0,6177164.0,1,1,1,42.694,2.9078
13467,693646.0,6177248.0,1,1,1,42.6948,2.9226
13381,691477.0,6177397.0,0,1,1,42.6961,2.8961
24582,1228783.0,6199000.0,0,1,1,42.6961,9.4525
13358,691071.0,6177510.0,1,1,1,42.6971,2.8912
24578,1228410.0,6199133.0,1,1,1,42.6975,9.4481
13838,702728.0,6177551.0,1,1,1,42.6976,3.0333
13289,689749.0,6177646.0,1,1,1,42.6983,2.875
13404,691835.0,6177634.0,0,1,1,42.6983,2.9005
13431,692671.0,6177646.0,0,1,1,42.6984,2.9107
13477,693980.0,6177755.0,0,1,0,42.6994,2.9266
11846,660316.0,6178057.0,1,1,0,42.701,2.5163
12714,675264.0,6178020.0,1,1,1,42.7014,2.6985
13760,701139.0,6177974.0,1,1,0,42.7014,3.0139
13348,690976.0,6178020.0,1,1,1,42.7017,2.89
13384,691488.0,6178044.0,1,1,1,42.7019,2.8962
13533,695541.0,6178121.0,0,0,0,42.7027,2.9456
7205,602982.0,6178858.0,1,1,1,42.7028,1.8173
24581,1228560.0,6199730.0,1,1,1,42.7028,9.4505
24569,1227911.0,6199740.0,1,1,1,42.7033,9.4426
13773,701545.0,6178226.0,0,1,1,42.7036,3.0188
13862,703114.0,6178307.0,1,1,1,42.7044,3.038
13311,690314.0,6178350.0,1,1,1,42.7047,2.8819
13362,691158.0,6178386.0,1,1,1,42.705,2.8922
13717,700149.0,6178432.0,1,1,1,42.7055,3.0018
24580,1228558.0,6200233.0,1,1,1,42.7073,9.451
13412,692081.0,6178881.0,0,0,0,42.7095,2.9035
24585,1229031.0,6200515.0,1,1,1,42.7095,9.457
13602,697397.0,6179029.0,1,1,0,42.7109,2.9683
13081,684554.0,6179081.0,0,1,1,42.7112,2.8117
13379,691444.0,6179105.0,1,1,1,42.7115,2.8957
7229,603556.0,6179891.0,1,1,1,42.7121,1.8241
13184,687180.0,6179241.0,1,1,1,42.7126,2.8437
13315,690391.0,6179511.0,1,1,1,42.7151,2.8828
13365,691173.0,6179537.0,0,1,1,42.7154,2.8924
13495,694464.0,6179550.0,1,1,1,42.7155,2.9325
13215,687902.0,6179569.0,0,1,0,42.7156,2.8525
24567,1227725.0,6201325.0,1,0,1,42.7177,9.4419
6307,572759.0,6181263.0,1,1,0,42.7197,1.4483
13357,691066.0,6180052.0,0,1,1,42.72,2.8911
7267,604888.0,6180787.0,0,1,1,42.7204,1.8402
7949,626105.0,6180558.0,1,1,0,42.7208,2.0989
13330,690724.0,6180210.0,1,1,1,42.7214,2.8869
6973,593163.0,6181262.0,1,1,0,42.723,1.6971
7268,604949.0,6181144.0,1,1,1,42.7236,1.8408
12711,675198.0,6180870.0,1,1,1,42.727,2.6975
24583,1228855.0,6202502.0,1,1,1,42.7274,9.4568
13405,691879.0,6180889.0,1,1,1,42.7275,2.901
13656,698666.0,6180882.0,1,1,1,42.7275,2.9837
13814,702279.0,6181071.0,1,1,1,42.7292,3.0278
3559,451560.0,6185879.0,1,1,0,42.7296,-0.0307
12185,664859.0,6181562.0,1,1,0,42.7328,2.5714
10084,650313.0,6181678.0,0,1,0,42.733,2.394
8000,627680.0,6181933.0,0,1,0,42.7333,2.1179
13480,694087.0,6181531.0,1,1,1,42.7333,2.9279
8775,642742.0,6181796.0,0,1,0,42.7335,2.3016
13851,702893.0,6181590.0,1,1,1,42.7339,3.0353
3607,453228.0,6186324.0,1,1,1,42.7341,-0.0106
24556,1226575.0,6203138.0,1,1,0,42.7348,9.4297
13363,691165.0,6181894.0,1,1,1,42.7366,2.8922
8125,630871.0,6182625.0,0,1,0,42.7399,2.1567
13259,689135.0,6182381.0,0,0,1,42.7409,2.8675
13415,692188.0,6182565.0,0,1,1,42.7426,2.9047
13470,693771.0,6182936.0,1,1,0,42.746,2.924
3927,469822.0,6187243.0,1,0,0,42.7479,0.1913
8397,636396.0,6183777.0,0,1,0,42.7507,2.224
13095,684914.0,6183545.0,1,1,0,42.7513,2.8159
13707,699900.0,6183593.0,1,1,1,42.7519,2.9988
7314,606706.0,6184573.0,1,1,0,42.7547,1.8617
24530,1220514.0,6204885.0,1,1,0,42.7548,9.3578
24588,1229198.0,6205608.0,1,1,1,42.755,9.4641
13544,695794.0,6184013.0,1,1,1,42.7557,2.9487
12439,668607.0,6184137.0,1,1,0,42.7561,2.617
7826,622316.0,6184893.0,0,1,0,42.7594,2.0521
11605,657614.0,6184969.0,0,1,0,42.763,2.4828
13268,689307.0,6185046.0,1,1,1,42.7649,2.8695
13833,702648.0,6185179.0,1,1,0,42.7661,3.0323
9034,644890.0,6185464.0,0,1,0,42.7666,2.3274
11275,655146.0,6185480.0,0,1,0,42.7675,2.4526
7543,615257.0,6185902.0,0,1,0,42.7677,1.9658
7908,624991.0,6185811.0,0,1,0,42.7679,2.0846
13318,690463.0,6185381.0,0,1,1,42.7679,2.8836
