,x,y,2G,3G,4G,latitude,longitude
18785,1228656.0,6198852.0,1,1,1,42.6948,9.4508
10504,702118.0,6177265.0,1,1,1,42.695,3.0258
18743,1224484.0,6198535.0,1,1,1,42.695,9.3998
10015,685924.0,6177318.0,1,1,1,42.6953,2.8284
18776,1228353.0,6198950.0,1,1,1,42.6959,9.4472
10144,690429.0,6177499.0,1,0,0,42.697,2.8833
18787,1228669.0,6199122.0,1,1,1,42.6972,9.4512
10526,702734.0,6177544.0,1,1,1,42.6975,3.0333
18779,1228410.0,6199130.0,1,1,1,42.6975,9.4481
10119,689723.0,6177631.0,1,1,1,42.6982,2.8747
10186,691261.0,6177638.0,1,1,1,42.6983,2.8935
10231,692672.0,6177654.0,1,1,1,42.6985,2.9107
10206,691913.0,6177690.0,1,1,1,42.6988,2.9014
18782,1228576.0,6199330.0,1,1,1,42.6992,9.4503
10263,693956.0,6177760.0,1,1,0,42.6994,2.9263
9078,660314.0,6178058.0,1,1,0,42.701,2.5162
18781,1228513.0,6199542.0,1,1,1,42.7011,9.4497
9698,675229.0,6178001.0,1,1,1,42.7012,2.698
10473,701208.0,6177976.0,1,1,1,42.7014,3.0147
10239,693012.0,6178006.0,1,1,1,42.7016,2.9148
10540,703007.0,6178038.0,1,1,1,42.7019,3.0367
10192,691584.0,6178055.0,1,1,1,42.702,2.8974
10166,690895.0,6178061.0,1,1,1,42.7021,2.889
18780,1228455.0,6199691.0,1,1,1,42.7025,9.4492
10302,695568.0,6178116.0,1,0,0,42.7026,2.946
18754,1226611.0,6199565.0,1,1,1,42.7027,9.4266
18788,1228735.0,6199746.0,1,1,1,42.7028,9.4526
18766,1227902.0,6199739.0,1,1,1,42.7033,9.4425
5761,603006.0,6178927.0,1,1,0,42.7034,1.8176
2838,453263.0,6183034.0,1,1,1,42.7046,-0.0086
10137,690315.0,6178353.0,1,1,1,42.7047,2.8819
10445,700159.0,6178439.0,1,1,1,42.7056,3.0019
10446,700166.0,6178439.0,1,1,0,42.7056,3.002
18786,1228657.0,6200117.0,1,1,1,42.7062,9.452
10120,689751.0,6178615.0,1,1,1,42.7071,2.8751
10173,691048.0,6178761.0,1,1,1,42.7084,2.8909
10334,696549.0,6179028.0,1,1,1,42.7108,2.9579
9978,684557.0,6179071.0,1,1,1,42.7111,2.8117
10050,687159.0,6179225.0,1,1,1,42.7125,2.8434
10205,691910.0,6179426.0,1,1,1,42.7144,2.9014
10164,690817.0,6179510.0,1,1,1,42.7151,2.888
10116,689577.0,6180198.0,1,1,1,42.7213,2.8729
10155,690625.0,6180330.0,1,1,1,42.7225,2.8857
5812,604944.0,6181150.0,1,1,0,42.7237,1.8408
18784,1228624.0,6202092.0,1,1,1,42.7239,9.4536
9703,675400.0,6180864.0,1,1,1,42.7269,2.7
8601,654588.0,6181196.0,1,1,1,42.7289,2.4462
10431,699582.0,6181180.0,1,1,1,42.7302,2.9949
10500,702034.0,6181206.0,1,1,1,42.7304,3.0248
9320,664858.0,6181562.0,1,1,0,42.7328,2.5714
7867,650311.0,6181679.0,1,1,0,42.733,2.394
10269,694140.0,6181503.0,1,1,1,42.7331,2.9285
6390,627678.0,6181933.0,1,1,0,42.7333,2.1179
7006,642740.0,6181797.0,1,1,0,42.7335,2.3016
2834,453186.0,6186337.0,1,1,1,42.7342,-0.0111
18751,1226572.0,6203151.0,1,1,1,42.7349,9.4297
