,x,y,2G,3G,4G,latitude,longitude
21388,1227123.0,6211715.0,1,1,1,42.8112,9.4449
7286,640721.0,6190539.0,1,1,1,42.8119,2.276
3343,478755.0,6194211.0,1,1,1,42.8133,0.2973
3670,494227.0,6193798.0,1,1,0,42.8142,0.4863
11482,701642.0,6190719.0,1,1,1,42.816,3.0201
21350,1217699.0,6211695.0,1,1,1,42.8179,9.3302
3395,481645.0,6194695.0,1,1,1,42.8185,0.3324
6671,625364.0,6191847.0,1,1,0,42.8222,2.0883
7000,634577.0,6192272.0,1,1,0,42.827,2.2008
3257,473934.0,6196144.0,1,1,1,42.8292,0.2376
11192,692562.0,6192221.0,1,1,1,42.8294,2.9091
10823,681046.0,6192308.0,1,1,1,42.83,2.7684
21345,1216222.0,6213243.0,1,1,1,42.8328,9.3137
11526,702682.0,6193028.0,1,1,0,42.8367,3.0328
11563,703398.0,6193089.0,1,1,1,42.8373,3.0415
10348,667729.0,6193339.0,1,1,1,42.8388,2.6057
7725,645669.0,6193949.0,1,1,0,42.843,2.3361
3521,488884.0,6197206.0,1,1,0,42.8433,0.4197
